organization,DISTRICT_ID,TYPE,COUNTY,COGO_ACRES,PLAT_ACRES,DIGITIZED,STATUS,CREATION_DATE,BNDRY_CHANGE,METHOD,SOURCE,ACCURACY,COMMENTS,INITIALS,UPDATED,TX_CNTY,FIPS,SHAPEAREA,SHAPELEN
Travis County MUD 20,7822100,MUD,Travis,736.3849835,754.55,N,I,0213/03/07 00:00:00+00,,MB,FN,NP,travismud20_*.txt,kp,2013/10/14 00:00:00+00,227,453,0.000280077,0.243886939
Harris County MUD 534,4380137,MUD,Harris,558.9158229,559,N,I,2013/06/14 00:00:00+00,,MB,FN,P,leg creation,ks,2015/05/12 00:00:00+00,101,201,0.000211229,0.061878196
Harris County MUD 533,5023117,MUD,Harris,469.7449354,469.8048,N,I,2013/06/14 00:00:00+00,,MB,FN,P,leg creation,ks,2015/05/12 00:00:00+00,101,201,0.000177548,0.062425531
Brazoria County MUD 61,1636558,MUD,Brazoria,338.5709517,338.4561,N,A,2008/09/09 00:00:00+00,2019/08/14 00:00:00+00,MB,FN,P, ,SPT,2019/09/23 00:00:00+00,20,39,0.000127482,0.091368341
Montgomery County MUD 185,5857707,MUD,Montgomery,251.7936386,249.7,N,I,2021/07/30 00:00:00+00,,MB,FN,P, ,ks,2021/09/17 00:00:00+00,170,339,9.54E-05,0.043059387
Harris County MUD 367,3738200,MUD,Harris,963.1274854,963.0338,N,A,1997/08/11 00:00:00+00,2019/08/14 00:00:00+00,MB,FN,P, ,SPT,2019/09/23 00:00:00+00,101,201,0.000364615,0.192090049
Double R MUD 1,2744375,MUD,Hunt,512.4461203,514.48,N,I,2015/09/01 00:00:00+00,2016/04/07 00:00:00+00,MB,FN,P, ,SPT,2020/11/20 00:00:00+00,116,231,0.000200193,0.070467694
Southern Montgomery County MUD,7579050,MUD,Montgomery,1781.51155,1797.22,N,A,1968/08/01 00:00:00+00,2015/11/18 00:00:00+00,MB,FN,NP, ,SPT,2020/06/18 00:00:00+00,170,339,0.000674951,0.291377675
Timber Lane Utility District,7786000,MUD,Harris,2105.406893,2108.6057,N,A,1969/05/29 00:00:00+00,2016/12/19 00:00:00+00,MB,FN,NP, ,SPT,2020/06/19 00:00:00+00,101,201,0.000796955,0.497540428
Harris Fort Bend Counties MUD 5,4418015,MUD,Harris,472.1457207,468.237,N,A,1995/02/17 00:00:00+00,2016/11/16 00:00:00+00,MB,FN,NP, ,SPT,2020/06/24 00:00:00+00,101,201,0.000178209,0.14019364
Lago Bello MUD 1B,5308563,MUD,Harris,298.1705836,298.1,N,I,2021/05/06 00:00:00+00,,MB,FN,P, ,gn,2021/11/01 00:00:00+00,101,201,0.000113405,0.070507176
Lago Bello MUD 1A,5316625,MUD,Harris,729.2406868,729.27,N,I,2021/05/06 00:00:00+00,,MB,FN,P, ,gn,2021/11/01 00:00:00+00,101,201,0.000275534,0.095252558
Montgomery County MUD 95,5858172,MUD,Montgomery,785.1130702,785.09,N,A,2003/03/18 00:00:00+00,2020/11/23 00:00:00+00,MB,FN,NP, ,gn,2021/11/01 00:00:00+00,170,339,0.00029764,0.147916576
Montgomery County MUD 189,5855798,MUD,Montgomery,163.6891581,163.7,N,I,2020/09/01 00:00:00+00,,MB,FN,P, ,gn,2021/11/02 00:00:00+00,170,339,6.20E-05,0.052447079
Montgomery County MUD 187,5857709,MUD,Montgomery,28.8964811,28.9,N,I,2020/11/24 00:00:00+00,,MB,FN,P, ,gn,2021/11/02 00:00:00+00,170,339,1.09E-05,0.027148879
Willow Creek Farms MUD,8672500,MUD,Waller,574.0423367,574.6,N,A,2007/09/01 00:00:00+00,2013/11/27 00:00:00+00,MB,FN,P, ,ks,2016/05/19 00:00:00+00,237,473,0.000216707,0.102136387
Harris-montgomery Counties MUD 386,3738430,MUD,Harris,3475.854313,3476.048,N,A,2001/09/01 00:00:00+00,2015/05/28 00:00:00+00,MB,FN,NP, ,ks,2016/02/22 00:00:00+00,101,201,0.001317126,0.353132611
Williamson County MUD 13,8664560,MUD,Williamson,426.5813876,426.59,N,A,2003/09/01 00:00:00+00,2017/02/09 00:00:00+00,MB,FN,P, ,SPT,2020/04/30 00:00:00+00,249,491,0.000162428,0.072277943
Mobberly MUD,5853632,MUD,Denton,522.0165942,521.891,N,I,2014/06/20 00:00:00+00,,MB,FN,P,mobberly mud.txt,kp,2013/12/30 00:00:00+00,61,121,0.000204535,0.074350081
Bell County MUD 2,1219250,MUD,Bell,1373.324316,1373,N,I,2014/07/23 00:00:00+00,,MB,FN,P,bellmud2.txt,kp,2014/04/04 00:00:00+00,14,27,0.000524894,0.17474412
Tryon Road SUD,8014750,SUD,Gregg,19361.37189,0,Y,A,2002/05/24 00:00:00+00,,D,CCN,NP,OSD for previous original CCN,kp,2014/11/05 00:00:00+00,92,183,0.007526498,0.542851325
Kendleton Improvement District ,5190438,ID,Fort Bend,274.1672946,274,N,I,2013/06/14 00:00:00+00,,MB,FN,NP,no map for location,ks,2015/06/03 00:00:00+00,79,157,0.000103187,0.051184541
Harris County MUD 400,3737131,MUD,Harris,1319.667703,1318.785,N,A,2004/07/19 00:00:00+00,2016/02/22 00:00:00+00,MB,FN,NP, ,SPT,2018/12/19 00:00:00+00,101,201,0.000499089,0.221701587
Las Lomas MUD 4A of Kaufman County,5365751,MUD,Kaufman,610.8124099,612.852,N, ,,,MB,FN,P , ,ks,2019/03/08 00:00:00+00,129,257,0.000237878,0.107461927
Las Lomas MUD 4B of Kaufman County,5366126,MUD,Kaufman,3432.475201,3434.744,N, ,,,MB,FN,P, ,ks,2019/03/08 00:00:00+00,129,257,0.001336069,0.264687342
Las Lomas MUD 4C of Kaufman County,5366314,MUD,Kaufman,249.6358183,249.623,N, ,,,MB,FN,P, ,ks,2019/03/08 00:00:00+00,129,257,9.67E-05,0.055109448
Montgomery County MUD 100,5857170,MUD,Montgomery,349.9872871,349.986,N,A,2005/05/30 00:00:00+00,2020/11/11 00:00:00+00,MB,FN,P, ,ks,2021/04/06 00:00:00+00,101,201,0.000133017,0.063726838
Valley Ranch Medical Center MD,8268075,MD,Montgomery,132.8396005,123.405,N,A,2015/06/16 00:00:00+00,,MB,FN,NP,bad closure,gn,2022/01/21 00:00:00+00,170,339,5.04E-05,0.080512417
Highway 380 MMD 1 ,4636875,MMD,Denton,473.9608139,474.567,N,I,2013/06/14 00:00:00+00,,MB,FN,P,leg creation,ks,2015/05/14 00:00:00+00,61,121,0.000185537,0.079795477
Montgomery County MUD 47,5858052,MUD,Montgomery,3313.417172,3300.275,N,A,1983/03/10 00:00:00+00,2020/04/21 00:00:00+00,MB,MAPMB,NP, ,SPT,2020/04/21 00:00:00+00,170,339,0.001256194,0.370562098
Fort Bend County MUD 130,3084897,MUD,Fort Bend,420.9796973,420.8193,N,A,2001/06/26 00:00:00+00,2017/09/21 00:00:00+00,MB,FN,NP, ,SPT,2018/08/23 00:00:00+00,79,157,0.000158899,0.054257041
Caldwell Valley MUD 1,1871250,MUD,Caldwell,599.4995644,608.7,N,I,2015/01/27 00:00:00+00,2015/01/27 00:00:00+00,MB,FN,NP, ,gn,2021/08/30 00:00:00+00,28,55,0.000226683,0.116901255
Ranch At Clear Fork Creek MUD 1,2304250,MUD,Caldwell,938.6844725,938.5,N,A,2004/05/19 00:00:00+00,2015/01/26 00:00:00+00,MB,FN,P, ,SPT,2019/01/23 00:00:00+00,28,55,0.000354933,0.158820264
Wood Trace MUD 1,8755000,MUD,Montgomery,547.477414,547.406,N,A,1991/05/18 00:00:00+00,2015/04/08 00:00:00+00,MB,FN,P, ,gn,2021/10/01 00:00:00+00, , ,0.000207456,0.075282665
McKinney MUD 1 of Collin County,5790750,MUD,Collin,879.2272017,879.144,N,A,2007/09/01 00:00:00+00,2015/12/11 00:00:00+00,MB,FN,NP, ,SPT,2020/04/22 00:00:00+00,43,85,0.000344393,0.113941884
Harris County MUD 376,3738404,MUD,Harris,330.6852425,329.419,NA,I,2003/06/23 00:00:00+00,,MB/OSD,FN,NP,"harris_mud376a.txt, harris_mud376b.",sjm,2003/08/07 00:00:00+00,101,201,0.000125083,0.058685432
Harris County MUD 378,3738406,MUD,Harris,503.4762401,501.646,NA,I,2003/06/23 00:00:00+00,,MB/OSD,FN,NP,harris_mud378a.txt (also b&c),sjm,2003/08/07 00:00:00+00,101,201,0.00019047,0.084449256
Harris County MUD 396,3738450,MUD,Harris,487.6087138,485.768,NA,A,2003/07/03 00:00:00+00,,MB,FN,P,Harris_mud396.txt,sjm,2003/08/05 00:00:00+00,101,201,0.000184524,0.066817357
Harris County Road Improvement District 1,3739000,OTH,Harris,180.8710215,180.2467,NA,I,2003/06/20 00:00:00+00,,MB,FN,NP,"Harris_rid1.txt, LOC. ???",sjm,2003/08/04 00:00:00+00,101,201,6.82E-05,0.034517181
Hays County MUD 4,4420715,MUD,Hays,194.6989276,193.926,NA,A,2003/07/03 00:00:00+00,,MB,FN,NP,Hays_mud4.txt,sjm,2003/08/08 00:00:00+00,105,209,7.38E-05,0.037736598
Rayford Road MUD,7192000,MUD,Montgomery,1319.17209,1313.9717,NA,A,1969/05/06 00:00:00+00,2003/03/20 00:00:00+00,MB,FN,P,rayford-rd_mud-t#.txt,sjm,2003/08/18 00:00:00+00,170,339,0.000499816,0.168731801
Brookeland MUD,1703300,MUD,Jasper,1870.874446,1580,Y,I,1993/05/14 00:00:00+00,,OSD,OTH,NP,brookeland_mud.shp,SFA,2009/02/26 00:00:00+00,121,241,0.00071615,0.230240821
Dallas County FCD 1,2520001,WID,Dallas,1608.157032,0,N,A,1976/04/29 00:00:00+00,,MB,FB,NP,dallas_fcd1.shp,SFA,2009/02/26 00:00:00+00,57,113,0.000626688,0.127336864
West Harris County MUD 7,8472940,MUD,Harris,495.9032639,494.06,N,A,1978/07/06 00:00:00+00,2007/04/03 00:00:00+00,MB,FN,P,wharrismud7.txt,kp,2007/08/03 00:00:00+00,101,201,0.000187287,0.094241945
Harris County MUD 102,3737252,MUD,Harris,820.953417,817.8849,N,A,1975/06/18 00:00:00+00,2006/10/23 00:00:00+00,MB,FN,P,harrismud102_*.txt,kp,2007/08/08 00:00:00+00,101,201,0.000310208,0.120680716
Harris County MUD 381,3738409,MUD,Harris,266.5043425,265.6586,N,A,2004/11/01 00:00:00+00,2006/08/21 00:00:00+00,MB,FN,NP,harrismud381_*.txt,kp,2007/08/10 00:00:00+00,101,201,0.000100443,0.090461122
Fountainhead MUD,3099500,MUD,Harris,496.6818284,496.2136,N,A,1972/10/27 00:00:00+00,2006/11/06 00:00:00+00,MB,FN,NP,Fountainhead mud-tracts 3&4.txt,kp,2007/08/10 00:00:00+00,101,201,0.000187889,0.108841021
Frisco West WCID,2721812,FWSD,Denton,545.8325593,544.3,N,A,2002/11/12 00:00:00+00,2019/08/20 00:00:00+00,MB,FN,P,d,ks,2020/04/06 00:00:00+00,61,121,0.00021361,0.104139115
Onion Creek Metro Park District,6204625,MMD,Travis,701.8051541,701.655,N,I,2013/06/14 00:00:00+00,,MB,FN,P,Onion Creek Metro Park.txt,kp,2015/03/11 00:00:00+00,227,453,0.000265941,0.090676774
Waller County Improvement District 1,8339375,MMD,Waller,92.61972296,92.64,N,I,2013/06/14 00:00:00+00,,MB,FN,P,leg,ks,2015/05/20 00:00:00+00,237,473,3.50E-05,0.024306652
Lake LBJ WCID 1,5310550,WCID,Burnet,14.48232845,14.48,N,I,2011/10/11 00:00:00+00,,MB,FN,P, ,ks,2016/02/09 00:00:00+00,27,53,5.52E-06,0.015752869
Brazoria County MUD 22,1636654,MUD,Brazoria,622.0449695,622.31,N,A,2001/06/18 00:00:00+00,2013/11/19 00:00:00+00,MB,FN,P, ,ks,2016/08/02 00:00:00+00,20,29,0.000234247,0.084525236
Comal County WCID 6,2339850,WCID,Comal,1231.292314,1231.62,N,A,2009/06/19 00:00:00+00,2014/02/20 00:00:00+00,MB,FN,NP, ,ks,2016/09/14 00:00:00+00,46,91,0.000464853,0.197836317
Sienna Plantation MUD 10,7573914,MUD,Fort Bend,977.212645,976.88,N,A,2002/09/26 00:00:00+00,2016/05/05 00:00:00+00,MB,FN,NP,s,ks,2016/11/08 00:00:00+00,79,157,0.000368206,0.148643707
Fort Bend County MMD 1 ,3073626,MMD,Fort Bend,1055.330165,1055.861,N,A,2013/06/14 00:00:00+00,2016/09/18 00:00:00+00,MB,FN,P, ,cd,2017/02/07 00:00:00+00,79,157,0.000397902,0.177559042
Palmera Ridge MUD,6480003,MUD,Williamson,426.2060697,426.92,N,NP,2014/07/14 00:00:00+00,2016/09/12 00:00:00+00,MB,FN,NP, ,ks,2017/02/02 00:00:00+00,246,491,0.000162234,0.074814184
Dowdell PUD,2747000,MUD,Harris,1381.355337,1380.76,N,A,1971/06/04 00:00:00+00,2019/10/15 00:00:00+00,MB,FN,P, ,ks,2017/01/22 00:00:00+00,101,201,0.000523023,0.555943927
Fort Bend Coutny MUD 133,3077163,MUD,Fort Bend,924.4101115,924.664,N,A,2003/11/12 00:00:00+00,2015/09/03 00:00:00+00,MB,FN,P, ,ks,2017/03/17 00:00:00+00,79,157,0.000348706,0.112020833
Fort Bend County MUD 134 A,3038966,MUD,Fort Bend,235.2716201,238.363,N,A,2007/08/10 00:00:00+00,2016/02/15 00:00:00+00,mb,fn,p, ,KS,2017/03/20 00:00:00+00,79,157,8.87E-05,0.154048566
Montgomery County MUD 67,5858102,MUD,Montgomery,1729.057875,1722.713,N,A,1985/08/26 00:00:00+00,2015/11/18 00:00:00+00,MB,FN,NP,difference in acreage,ks,2016/03/08 00:00:00+00,170,339,0.000655501,0.367739633
Montgomery County MUD 126,5862540,MUD,Montgomery,329.8400292,329.91,N,A,2008/11/20 00:00:00+00,2014/06/19 00:00:00+00,MB,FN,P, ,ks,2016/04/12 00:00:00+00,170,339,0.00012526,0.063376889
North Forest MUD,5983000,MUD,Harris,172.5317734,172.1182,N,A,1967/06/16 00:00:00+00,2013/11/12 00:00:00+00,MB,FN,NP, ,ks,2016/04/12 00:00:00+00,101,201,6.53E-05,0.051754383
Montgomery County MUD 119,5857532,MUD,Montgomery,1137.421537,1137.38,N,A,2007/09/01 00:00:00+00,2014/12/01 00:00:00+00,MB,FN,NP,tract 6 no closure,ks,2016/04/07 00:00:00+00,170,339,0.000430753,0.132285748
Harris County FWSD 58,3732000,MUD,Harris,663.3248348,663.23,N,A,1965/10/18 00:00:00+00,2018/05/10 00:00:00+00,MB,FN,P, ,SPT,2019/02/21 00:00:00+00,101,201,0.000250919,0.135837115
Harris County MUD 182,3737432,MUD,Harris,114.725021,114.6426,N,A,1980/02/26 00:00:00+00,2013/12/18 00:00:00+00,MB,MAPMB,P,NA,ks,2016/07/14 00:00:00+00,101,201,4.34E-05,0.03694222
River Ranch MUD 13,7289128,MUD,Liberty,479.3229815,479.373,N,I ,2018/05/10 00:00:00+00,,MB ,FN ,P, ,ks ,2019/02/28 00:00:00+00,146,291,0.000181238,0.057696046
River Ranch MUD 15,7289122,MUD ,Liberty,313.8655498,313.891,N,I ,2018/05/10 00:00:00+00,,MB ,FN ,P , ,ks ,2019/02/28 00:00:00+00,146,291,0.00011868,0.082413129
River Ranch MUD 14,7289124,MUD,Liberty,984.0628883,984.614,N,I ,2018/05/10 00:00:00+00,,MB ,FN ,P , ,ks ,2019/02/28 00:00:00+00,146,291,0.000372109,0.148914548
Louetta North PUD,5448900,MUD,Harris,453.8072358,452.11,N,A,1971/06/04 00:00:00+00,2015/10/01 00:00:00+00,MB,FN,NP, ,ks,2020/05/05 00:00:00+00,101,201,0.000171721,0.117339495
North Hays County MUD 1,5984900,MUD,Hays,461.8530192,460.06,N,A,2004/07/19 00:00:00+00,2007/04/05 00:00:00+00,MB,FN,P,nhaysmud1.txt,kp,2007/08/13 00:00:00+00,105,209,0.000174819,0.065469439
Kaufman County FWSD 1F,5159970,FWSD,Kaufman,323.3921068,324.461,N,I,2019/02/07 00:00:00+00,2019/05/09 00:00:00+00,MB,FN,P, ,SPT,2020/03/25 00:00:00+00,129,257,0.000125906,0.059662172
Harris County MUD 570,9000009,MUD,Harris,670.7827379,644.471,N,I,2019/03/10 00:00:00+00,,MB,FN,NP, ,ks,2019/11/06 00:00:00+00,101,201,0.000253806,0.110900376
Fort Bend County MUD 144,3080713,MUD,Fort Bend,558.8971286,557.145,N,A,2003/04/30 00:00:00+00,2010/07/06 00:00:00+00,MB,FN,NP,fortbendmud144-*.txt,kp,2010/08/18 00:00:00+00,79,157,0.000210511,0.112919335
Valley Ranch MUD 1,8268650,MUD,Montgomery,799.0569633,796.069,N,A,2006/01/12 00:00:00+00,2006/04/26 00:00:00+00,MB,FN,NP,valleyranchmud1_*.txt,kp,2007/04/05 00:00:00+00,170,339,0.000302695,0.119667781
Galveston County MUD 15,3202526,MUD,Galveston,477.7450064,476.148,NA,A,1984/10/10 00:00:00+00,2002/05/20 00:00:00+00,MB,MAPMB,P,galvestonmud15-x.txt,sjm,2004/04/08 00:00:00+00,84,167,0.000179801,0.086762379
Fort Bend County LID 19,3072379,LID,Fort Bend,793.953529,791.02,N,A,2007/09/01 00:00:00+00,2015/12/11 00:00:00+00,MB,FN,P, ,SPT,2020/06/04 00:00:00+00,79,157,0.000299049,0.138604201
Trail of the Lakes MUD,7811000,MUD,Harris,816.2905221,813.365,N,A,1974/04/22 00:00:00+00,2016/02/29 00:00:00+00,MB,FN,NP, ,SPT,2020/07/03 00:00:00+00,101,201,0.000308772,0.123500834
West Travis County MUD 5,8488600,MUD,Travis,372.1049706,370.595,NA,A,1989/08/28 00:00:00+00,,MB,MAPMB,P,wtravismud5.txt,hc,2002/05/20 00:00:00+00,227,453,0.000141241,0.06691103
Fort Bend County LID 10,3073380,LID,Fort Bend,770.9085366,768.39,NA,A,1988/12/12 00:00:00+00,2013/02/06 00:00:00+00,MB,FN,P,fortbendcolid10.txt,kp,2013/07/29 00:00:00+00,79,157,0.000290452,0.094274977
Liberty-Danville FWSD 2,5436500,FWSD,Gregg,69.32791251,69.07,NA,A,1975/09/29 00:00:00+00,,MB,MAPMB,P,liberty-danvillefwsd2.txt,eg,2002/05/22 00:00:00+00,92,183,2.69E-05,0.027942547
West Travis County MUD 3,8488000,MUD,Travis,339.9888706,338.611,NA,A,1989/08/28 00:00:00+00,1996/10/16 00:00:00+00,MB,MAPMB,P,wtravismud3.txt,hc,2002/05/28 00:00:00+00,227,453,0.000129039,0.064439615
Lubbock County WCID 1,5530000,WCID,Lubbock,1206.051414,1209.1,N,A,1955/10/10 00:00:00+00,1989/08/28 00:00:00+00,MB,FN,NP,61 ft gap,KS,2016/04/13 00:00:00+00,152,203,0.000473742,0.118729587
Fort Bend County MUD 190,3077250,MUD,Fort Bend,447.2057144,437.314,N,A,2007/09/01 00:00:00+00,2014/10/14 00:00:00+00,MB,FN,NP,acerage difference,ks,2017/07/19 00:00:00+00,79,157,0.000168707,0.060422951
Mount Houston Road MUD,5890500,MUD,Harris,841.2302871,841.8,N,A,1978/05/09 00:00:00+00,2015/05/06 00:00:00+00,MB,FN,P,m,ks,2017/09/06 00:00:00+00,101,201,0.000317984,0.173690344
Lake View Management and Development District,5322090,OTH,Henderson,538.672524,0,Y,A,2003/07/10 00:00:00+00,2016/02/10 00:00:00+00,MB/OSD,FN/MAP,NP, ,ks,2018/07/25 00:00:00+00,107,213,0.00020851,0.100512726
Harris County WCID 21,3850000,WCID,Harris,2533.712247,2598.3574,NA,A,1950/04/18 00:00:00+00,2002/10/07 00:00:00+00,OSD,TXDOT,NP, ,SPT,2018/08/22 00:00:00+00,101,201,0.000956626,0.233630237
Fort Bend County MUD 174 ,3079437,MUD,Fort Bend,270.4017051,270.482,N,A,2017/01/06 00:00:00+00,,MB,FN,P, ,ks,2019/01/11 00:00:00+00,79,157,0.00010194,0.048987798
Fort Bend County MUD 220,3080672,MUD,Fort Bend,247.9649202,247.5,N,A,2017/01/06 00:00:00+00,2019/10/02 00:00:00+00,MB,FN,P, ,ks,2020/04/06 00:00:00+00,79,157,9.36E-05,0.060823571
Galveston County MUD 76,3207408,MUD,Galveston,60.66564674,60.6,N,I,2009/06/19 00:00:00+00,2017/07/31 00:00:00+00,MB,FN,NP,galveston_co_mud76.shp,SPT,2018/08/29 00:00:00+00,84,167,2.28E-05,0.033439957
North Belt Utility District,5969000,MUD,Harris,605.7759846,604.3185,N,A,1969/05/06 00:00:00+00,2015/11/09 00:00:00+00,MB,FN,NP, ,SPT,2018/09/14 00:00:00+00,101,201,0.000229076,0.235852293
J-O Ranch MUD,4770000,MUD,Comal,126.5493862,126.53,N,I,2020/12/02 00:00:00+00,,MB,FN,P, ,ks,2021/08/12 00:00:00+00,46,91,4.78E-05,0.041220974
Montgomery County MUD 131,5858814,MUD,Montgomery,772.718247,784.6,N,A,2013/06/19 00:00:00+00,2021/10/27 00:00:00+00,MB,FN,NP, ,gn,2022/02/28 00:00:00+00,170,339,0.000292983,0.103699775
Harris County MUD 490,3737124,MUD,Harris,670.6062698,667.5,N,A,2007/07/12 00:00:00+00,2017/02/15 00:00:00+00,MB,FN,P, ,SPT,2018/12/11 00:00:00+00,101,201,0.000253593,0.08078925
Harris County MUD 361,3738100,MUD,Harris,378.6143951,377.195,NA,A,1997/03/10 00:00:00+00,2000/01/11 00:00:00+00,MB,MAPMB,P,harriscomud361.txt,eg,2002/05/29 00:00:00+00,101,201,0.000143147,0.074270906
Coke County Kickapoo WCID 1,2311000,WCID,Coke,46626.48903,0,Y,A,1959/09/16 00:00:00+00,,E,SHP,NP,"cokecokickapoowcid1a.shp, used OTLS",eg,2002/06/04 00:00:00+00,41,81,0.017998087,0.738701124
East Downtown Mgmt District,2799500,MMD,Harris,761.7269227,0,NA,I,1999/06/19 00:00:00+00,,OSD,MAP,NP,No plat acres available,hc,2002/06/10 00:00:00+00,101,201,0.000287486,0.086507295
Denton County Reclamation & Road District,2722100,OTH,Denton,1319.633662,1315.9,NA,A,1985/06/15 00:00:00+00,,MB,MAPMB,NP,denton co rrd.txt,hc,2002/06/19 00:00:00+00,61,121,0.000515376,0.127820146
Brazoria County MUD 21,1636652,MUD,Brazoria,592.1833198,590.17,NA,A,2001/06/18 00:00:00+00,,MB,FN,P,brazoriamud21.txt,jb,2002/07/02 00:00:00+00,20,39,0.000222977,0.066303485
Fort Bend County MUD 122,3084875,MUD,Fort Bend,361.3516837,360.06,NA,A,2000/11/21 00:00:00+00,,MB,FN,P,fbmud122.txt,jb,2002/07/02 00:00:00+00,79,157,0.000136316,0.051701091
Galveston County MUD 39,3202625,MUD,Galveston,505.1193196,503.409,NA,A,2001/09/12 00:00:00+00,,MB,FN,P,galvestonmud39.txt,jb,2002/07/08 00:00:00+00,84,167,0.000190144,0.068679911
Travis County MUD 14,7824925,MUD,Travis,517.3760664,515.289,NA,A,2001/07/18 00:00:00+00,,MB,FN,P,travismud14t1.txt,jb,2002/07/10 00:00:00+00,227,453,0.000196439,0.090681902
Travis County MUD 15,7823463,MUD,Travis,673.2774044,670.521,NA,A,2002/03/12 00:00:00+00,,MB,FN,P,travismud15t1.txt,jb,2002/07/12 00:00:00+00,227,453,0.000255921,0.126104334
Big Oaks MUD,1542000,MUD,Fort Bend,596.8778349,594.7024,NA,A,1983/11/01 00:00:00+00,1999/12/16 00:00:00+00,MB,FN,P,bigoaksmud.txt,jb,2002/07/16 00:00:00+00,79,157,0.00022517,0.060482549
Macedonia-Eylau MUD 1,5600000,MUD,Bowie,13211.41463,0,Y,A,1967/12/21 00:00:00+00,,D,MAP,NP,"Tract 1 digitized, MB for Tract 2",mc,2001/03/09 00:00:00+00,19,37,0.005181603,0.47530281
Greater Southeast Management District,3413200,MMD,Harris,7069.028377,19400,NA,A,2001/06/17 00:00:00+00,,D,FN,P,"3413200.shp, OSD using FN",jb,2002/07/18 00:00:00+00,101,201,0.002667127,0.294673368
Montgomery County MUD 60,5858088,MUD,Montgomery,2039.404511,2038.16,N,A,1984/09/19 00:00:00+00,2016/09/20 00:00:00+00,MB,FN,NP, ,SPT,2018/10/25 00:00:00+00,170,339,0.000772956,0.339546174
Northpointe WCID,5999500,WCID,Harris,1976.363127,1967.972,N,A,1986/05/28 00:00:00+00,2016/12/21 00:00:00+00,MB,FN,NP, ,SPT,2018/09/19 00:00:00+00,101,201,0.00074804,0.208299265
Northwest Harris County MUD 6,6041150,MUD,Harris,418.3020775,417.64,N,A,1975/10/31 00:00:00+00,2015/08/10 00:00:00+00,MB,FN,P, ,SPT,2018/09/27 00:00:00+00,101,201,0.000158221,0.145089461
Travis Couny MUD 24,7822188,MUD,Travis,348.4096267,348.361,N,I,2017/01/06 00:00:00+00,,MB,FN,P, ,ks,2019/01/17 00:00:00+00,227,453,0.00013238,0.070643991
Liberty County MUD 8,5434250,MUD,Liberty,300.0948855,300.07,N,I,2021/02/09 00:00:00+00,,MB,FN,P, ,ks,2021/09/08 00:00:00+00,146,291,0.00011343,0.046287639
Williamson County MUD 34,8664508,MUD,Williamson,278.4544567,278.21,N,I,2017/01/31 00:00:00+00,,MB,FN,P, ,ks,2019/01/17 00:00:00+00,246,491,0.000106014,0.050252682
Brazoria County MUD 67,1636578,MUD,Brazoria,380.8621328,381.1135,N,A,2017/04/17 00:00:00+00,,MB,FN,P, ,ks,2019/01/17 00:00:00+00,27,53,0.000143095,0.054211013
Harris County MUD 496 ,3742107,MUD,Harris,211.9691579,211.96,N,I,2009/02/25 00:00:00+00,2015/05/05 00:00:00+00,MB,FN,P, ,SPT,2018/12/14 00:00:00+00,101,201,7.99E-05,0.054123612
Williamson County MUD 19D,8664003,MUD,Wissiamson,189.1194633,193.79,N,I,2020/03/23 00:00:00+00,,MB,FN,NP, ,ks,2020/12/11 00:00:00+00,246,491,7.22E-05,0.040963867
Chambers County MUD 3,2267750,MUD,Chambers,223.6305284,223.2868,N,A,2019/06/14 00:00:00+00,2020/05/05 00:00:00+00,MB,FN,NP, ,SPT,2020/08/13 00:00:00+00,36,71,8.43E-05,0.044467476
Bammel Utility District,1175000,MUD,Harris,448.5924416,449.0747,N,A,1969/05/27 00:00:00+00,2020/11/02 00:00:00+00,MB,FN,P, ,GN,2021/07/01 00:00:00+00,101,201,0.000169732,0.131579502
Venable Ranch MUD 1,MUD, ,8272025,2521.937114,2521.094,N,`A,2013/06/14 00:00:00+00,,MB,FN,NP,bad closure,gn,2022/01/21 00:00:00+00,61,121,0.000988265,0.18313847
Waller County MUD 20,8343360,MUD,Waller,809.1855985,809.2,N,I,2015/06/17 00:00:00+00,,MB,FN,P,not sure exact location,gn,2022/01/21 00:00:00+00,237,473,0.00030674,0.080208157
Waller County MUD 21,8343594,MUD,Waller,799.1535136,794.46,N,I,2015/05/22 00:00:00+00,,MB,FN,NP,bad closure and acreage off,gn,, , ,0.000302867,0.072239179
Waller County MUD 22,8343829,MUD,Waller,524.4762707,524.55,N,I,2015/05/22 00:00:00+00,,MB,FN,P, ,gn,2022/01/26 00:00:00+00,237,473,0.000198872,0.074918207
Waller County MUD 23,8343946,MUD,Waller,622.922865,622.88,N,I,2015/06/17 00:00:00+00,,MB,FN,NP,slight bad closure,gn,2022/01/26 00:00:00+00,237,473,0.000236147,0.083334177
Harris County MUD 420,3737162,MUD,Harris,104.4716876,104.4481,N,A ,2005/08/04 00:00:00+00,2016/03/08 00:00:00+00,MB,FN,NP, ,SPT,2018/12/20 00:00:00+00,101,201,3.94E-05,0.038236724
Harris County MUD 383,3738424,MUD,Harris,880.4904952,880.361,N,A,2002/04/02 00:00:00+00,2016/05/04 00:00:00+00,MB,FN,P, ,ks,2019/05/16 00:00:00+00,101,201,0.000333316,0.150018349
Missouri City Management District 1,5853566,MD,Fort Bend,492.9239106,492.751,N,A,2015/06/18 00:00:00+00,2018/07/20 00:00:00+00,MB,FN,P, ,SPT,2019/10/28 00:00:00+00,79,157,0.00018569,0.113639364
